STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,ANNUAL_ESAL_TREND,ANNUAL_GESAL_TREND
1,Alabama,0508,1,2004,93978,111001
1,Alabama,0508,1,2003,92367,109080
1,Alabama,0508,2,2003,92367,109080
1,Alabama,0508,1,2006,97528,115186
1,Alabama,0508,2,2006,97528,115186
1,Alabama,0508,1,2002,90684,107076
1,Alabama,0508,2,2002,90684,107076
1,Alabama,0508,2,1999,88027,103965
1,Alabama,0508,1,1999,88027,103965
1,Alabama,0508,1,2001,88374,104378
1,Alabama,0508,2,2001,88374,104378
1,Alabama,0508,2,1996,81406,96117
1,Alabama,0508,1,1996,81406,96117
1,Alabama,0508,2,2000,87159,102927
1,Alabama,0508,1,2000,87159,102927
1,Alabama,0508,1,1998,85979,101521
1,Alabama,0508,2,1998,85979,101521
1,Alabama,0508,1,1997,83213,98272
1,Alabama,0508,2,1997,83213,98272
1,Alabama,0508,2,1992,72226,85279
1,Alabama,0508,1,1992,72226,85279
1,Alabama,0508,2,1991,69938,5205
1,Alabama,0508,1,1991,69938,82596
1,Alabama,0508,1,1993,74058,87463
1,Alabama,0508,1,1995,78745,92991
1,Alabama,0508,2,1995,78745,92991
1,Alabama,0508,2,1994,41606,49136
1,Alabama,0508,1,1994,41606,49136
1,Alabama,0508,2,1993,74058,87463
1,Alabama,0508,1,1984,59775,70591
1,Alabama,0508,1,1985,60371,71304
1,Alabama,0508,1,1982,41953,49549
1,Alabama,0508,1,1986,67908,80178
1,Alabama,0508,1,1987,75741,89467
1,Alabama,0508,1,1990,68255,80591
1,Alabama,0508,1,1983,44968,53097
1,Alabama,0508,1,1988,81080,95777
1,Alabama,0508,1,1980,50552,59695
1,Alabama,0508,1,1978,50761,59944
1,Alabama,0508,1,1977,43289,51140
1,Alabama,0508,1,1981,50414,59531
1,Alabama,0508,1,1979,50844,60051
1,Alabama,0508,1,1976,42068,29050
1,Alabama,0508,1,1989,84567,99889
1,Alabama,0509,1,1975,0,0
1,Alabama,0509,2,2017,122403,139016
1,Alabama,0509,1,2017,122403,139016
1,Alabama,0509,2,2016,120981,137387
1,Alabama,0509,1,2016,120981,137387
1,Alabama,0509,2,2015,118899,135007
1,Alabama,0509,1,2015,118899,135007
1,Alabama,0509,2,2014,117030,132910
1,Alabama,0509,1,2014,117030,132910
1,Alabama,0509,1,2013,115278,130906
1,Alabama,0509,2,2013,115278,130906
1,Alabama,0509,1,2007,103229,117197
1,Alabama,0509,2,2007,103229,117197
1,Alabama,0509,1,2010,109668,124527
1,Alabama,0509,2,2010,109668,124527
1,Alabama,0509,2,2011,111442,126558
1,Alabama,0509,1,2011,111442,126558
1,Alabama,0509,1,2009,106733,121206
1,Alabama,0509,2,2009,106733,121206
1,Alabama,0509,2,2012,113837,129254
1,Alabama,0509,1,2012,113837,129254
1,Alabama,0509,2,2008,105562,119861
1,Alabama,0509,1,2008,105562,119861
1,Alabama,0509,2,2006,101437,115186
1,Alabama,0509,1,2006,101437,115186
1,Alabama,0509,2,2005,99561,113041
1,Alabama,0509,1,2005,99561,113041
1,Alabama,0509,1,2004,97744,111001
1,Alabama,0509,2,2004,97744,111001
1,Alabama,0509,2,2003,96064,109080
1,Alabama,0509,1,2003,96064,109080
1,Alabama,0509,1,2002,94312,107076
1,Alabama,0509,2,2002,94312,107076
1,Alabama,0509,2,1999,91553,103965
1,Alabama,0509,1,1999,91553,103965
1,Alabama,0509,1,2001,91914,104378
1,Alabama,0509,2,2001,91914,104378
1,Alabama,0509,1,1996,84659,96117
1,Alabama,0509,2,1996,84659,96117
1,Alabama,0509,1,2000,90647,102927
1,Alabama,0509,2,2000,90647,102927
1,Alabama,0509,2,1998,89418,101521
1,Alabama,0509,1,1998,89418,101521
1,Alabama,0509,2,1997,86542,98272
1,Alabama,0509,1,1997,86542,98272
1,Alabama,0509,2,1992,75111,85279
1,Alabama,0509,1,1992,75111,85279
1,Alabama,0509,2,1991,72730,5205
1,Alabama,0509,1,1991,72730,82596
1,Alabama,0509,2,1993,77019,87463
1,Alabama,0509,1,1993,77019,87463
1,Alabama,0509,1,1994,43271,49136
1,Alabama,0509,2,1994,43271,49136
1,Alabama,0509,1,1995,81891,92991
1,Alabama,0509,2,1995,81891,92991
1,Alabama,0509,1,1984,62172,70591
1,Alabama,0509,1,1985,62795,71304
1,Alabama,0509,1,1982,43632,49549
1,Alabama,0509,1,1986,70617,80178
1,Alabama,0509,1,1987,78771,89467
1,Alabama,0509,1,1990,70978,80591
1,Alabama,0509,1,1983,46767,53097
1,Alabama,0509,1,1988,84326,95777
1,Alabama,0509,1,1980,52576,59695
1,Alabama,0509,1,1978,52794,59944
1,Alabama,0509,1,1977,45023,51140
1,Alabama,0509,1,1981,52432,59531
1,Alabama,0509,1,1979,52885,60051
1,Alabama,0509,1,1976,43752,29050
1,Alabama,0509,1,1989,87954,99889
1,Alabama,0563,1,1975,0,0
1,Alabama,0563,4,2017,127422,139016
1,Alabama,0563,4,2016,125941,137387
1,Alabama,0563,4,2015,123772,135007
1,Alabama,0563,4,2014,121830,132910
1,Alabama,0563,3,2013,120056,70294
1,Alabama,0563,2,2013,120056,70294
1,Alabama,0563,1,2013,120056,70294
1,Alabama,0563,4,2013,120005,60970
1,Alabama,0563,1,2011,116063,126558
1,Alabama,0563,2,2011,116063,126558
1,Alabama,0563,3,2011,116063,126558
1,Alabama,0563,2,2007,107500,117197
1,Alabama,0563,3,2007,107500,117197
1,Alabama,0563,1,2007,107500,117197
1,Alabama,0563,1,2010,114216,124527
1,Alabama,0563,2,2010,114216,124527
1,Alabama,0563,3,2010,114216,124527
1,Alabama,0563,1,2009,111150,121206
1,Alabama,0563,2,2009,111150,121206
1,Alabama,0563,3,2009,111150,121206
1,Alabama,0563,2,2012,118555,129254
1,Alabama,0563,1,2012,118555,129254
1,Alabama,0563,3,2012,118555,129254
1,Alabama,0563,3,2008,109928,119861
1,Alabama,0563,1,2008,109928,119861
1,Alabama,0563,2,2008,109928,119861
1,Alabama,0563,1,2005,103682,113041
1,Alabama,0563,3,2005,103682,113041
1,Alabama,0563,2,2005,103682,113041
1,Alabama,0563,2,2004,101792,111001
1,Alabama,0563,1,2004,101792,111001
1,Alabama,0563,3,2004,101792,111001
1,Alabama,0563,3,2003,100043,109080
1,Alabama,0563,2,2003,100043,109080
1,Alabama,0563,1,2003,100043,109080
1,Alabama,0563,2,2006,105635,115186
1,Alabama,0563,1,2006,105635,115186
1,Alabama,0563,3,2006,105635,115186
1,Alabama,0563,3,1999,95342,65797
1,Alabama,0563,2,1999,95342,103965
1,Alabama,0563,1,1999,95342,103965
1,Alabama,0563,1,2002,98218,107076
1,Alabama,0563,3,2002,98218,107076
